=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.21 15:20:01 =~=~=~=~=~=~=~=~=~=~=~=
Initializing HX711...
...Tare...
HX711 Initialized!

Initializing LCD...
Testing the display...
LCD initialized!

Reading sensitivity from memory...
Sensitivity: 2924.07740 div/g 
0.13751 g 
0.13786 g 
0.13792 g 
0.13731 g 
0.13772 g 
0.13731 g 
0.13827 g 
0.13803 g 
0.13748 g 
0.13809 g 
0.13864 g 
0.13768 g 
0.13553 g 
0.13515 g 
0.13485 g 
0.13567 g 
0.13584 g 
0.13560 g 
0.13632 g 
0.13543 g 
0.13601 g 
0.13775 g 
0.14066 g 
0.14107 g 
0.13943 g 
0.13909 g 
0.13984 g 
0.13902 g 
0.13751 g 
0.13775 g 
0.13799 g 
0.13922 g 
0.13779 g 
0.13731 g 
0.13902 g 
0.13851 g 
0.13625 g 
0.13498 g 
0.13529 g 
0.13433 g 
0.13235 g 
0.12896 g 
0.12732 g 
0.12814 g 
0.12807 g 
0.12845 g 
0.12862 g 
0.13228 g 
0.13471 g 
0.13700 g 
0.13892 g 
0.14237 g 
0.14545 g 
0.14712 g 
0.14842 g 
0.14935 g 
0.15174 g 
0.15140 g 
0.15037 g 
0.15034 g 
0.15054 g 
0.15044 g 
0.15000 g 
0.15044 g 
0.15058 g 
0.15147 g 
0.15229 g 
0.15222 g 
0.15218 g 
0.15208 g 
0.15041 g 
0.14911 g 
0.14935 g 
0.14770 g 
0.14661 g 
0.14668 g 
0.14473 g 
0.14452 g 
0.14387 g 
0.14384 g 
0.14500 g 
0.14476 g 
0.14483 g 
0.14490 g 
0.14538 g 
0.14603 g 
0.14613 g 
0.14637 g 
0.14695 g 
0.14692 g 
0.14658 g 
0.14664 g 
0.14682 g 
0.14695 g 
0.14661 g 
0.14576 g 
0.14617 g 
0.14582 g 
0.14637 g 
0.14637 g 
0.14623 g 
0.14726 g 
0.14822 g 
0.15085 g 
0.15242 g 
0.15389 g 
0.15694 g 
0.15834 g 
0.16166 g 
0.16337 g 
0.16785 g 
0.17058 g 
0.17236 g 
0.17226 g 
0.17335 g 
0.17342 g 
0.17284 g 
0.17445 g 
0.17195 g 
0.16939 g 
0.16535 g 
0.16217 g 
0.16019 g 
0.15834 g 
0.15728 g 
0.15557 g 
0.15591 g 
0.15509 g 
0.15506 g 
0.15714 g 
0.15998 g 
0.16118 g 
0.16309 g 
0.16511 g 
0.16665 g 
0.16733 g 
0.16679 g 
0.16710 g 
0.16805 g 
0.16747 g 
0.16583 g 
0.16631 g 
0.16604 g 
0.16614 g 
0.16566 g 
0.16716 g 
0.16949 g 
0.16987 g 
0.17028 g 
0.17387 g 
0.17585 g 
0.17653 g 
0.17558 g 
0.17698 g 
0.17876 g 
0.17975 g 
0.17886 g 
0.17859 g 
0.18132 g 
0.17968 g 
0.17907 g 
0.18071 g 
0.18313 g 
0.18341 g 
0.18423 g 
0.18402 g 
0.18454 g 
0.18584 g 
0.18320 g 
0.18392 g 
0.18508 g 
0.18406 g 
0.18204 g 
0.18115 g 
0.18184 g 
0.18225 g 
0.18139 g 
0.18180 g 
0.18231 g 
0.18006 g 
0.17800 g 
0.17698 g 
0.17705 g 
0.17616 g 
0.17175 g 
0.17038 g 
0.16908 g 
0.16559 g 
0.16316 g 
0.16614 g 
0.16703 g 
0.16433 g 
0.15974 g 
0.15143 g 
0.14794 g 
0.14425 g 
0.13974 g 
0.13765 g 
0.13526 g 
0.12934 g 
0.12517 g 
0.12298 g 
0.13105 g 
0.13556 g 
0.13334 g 
0.13242 g 
0.13491 g 
.
Tare...
0.11573 g 
0.09911 g 
0.08150 g 
0.06399 g 
0.04743 g 
0.02401 g 
0.00612 g 
-0.00759 g 
-0.02455 g 
-0.04234 g 
-0.04005 g 
-0.04005 g 
-0.03858 g 
-0.03670 g 
-0.03543 g 
-0.03584 g 
-0.03430 g 
-0.03218 g 
-0.02999 g 
-0.02890 g 
-0.02767 g 
-0.02719 g 
-0.02780 g 
-0.02821 g 
-0.02750 g 
-0.02644 g 
-0.02644 g 
-0.02685 g 
-0.02753 g 
-0.02750 g 
-0.02945 g 
-0.03009 g 
-0.02982 g 
-0.02815 g 
-0.02705 g 
-0.02712 g 
-0.02640 g 
-0.02743 g 
-0.02691 g 
-0.02654 g 
-0.02411 g 
-0.02384 g 
-0.02428 g 
-0.02462 g 
-0.02541 g 
-0.02544 g 
-0.02558 g 
-0.02538 g 
-0.02698 g 
-0.02945 g 
-0.02986 g 
-0.02828 g 
-0.02791 g 
-0.02839 g 
-0.02852 g 
-0.02958 g 
-0.02968 g 
-0.02845 g 
-0.02548 g 
-0.02411 g 
-0.02469 g 
-0.02585 g 
-0.02531 g 
-0.02620 g 
-0.02681 g 
-0.02681 g 
-0.02903 g 
-0.03122 g 
-0.03314 g 
-0.03464 g 
-0.03444 g 
-0.03488 g 
-0.03605 g 
-0.03656 g 
-0.03721 g 
-0.03598 g 
-0.03564 g 
-0.03522 g 
-0.03478 g 
-0.03310 g 
-0.03464 g 
-0.03420 g 
-0.03266 g 
-0.03215 g 
-0.03051 g 
-0.03023 g 
-0.02794 g 
-0.02688 g 
-0.02606 g 
-0.02538 g 
-0.02394 g 
-0.02284 g 
-0.02172 g 
-0.02059 g 
-0.02066 g 
-0.01854 g 
-0.01730 g 
-0.01412 g 
-0.01070 g 
-0.00852 g 
-0.00287 g 
0.00133 g 
0.00386 g 
0.00674 g 
0.00975 g 
0.01197 g 
0.01467 g 
0.01529 g 
0.01416 g 
0.01559 g 
0.01460 g 
0.01375 g 
0.01412 g 
0.01231 g 
0.00578 g 
0.00198 g 
0.00311 g 
0.00513 g 
0.00722 g 
0.00879 g 
0.00752 g 
0.00725 g 
0.00783 g 
0.00889 g 
0.01614 g 
0.01895 g 
0.01809 g 
0.01628 g 
0.01522 g 
0.01361 g 
0.01436 g 
0.01549 g 
0.01460 g 
0.01683 g 
0.01847 g 
0.01925 g 
0.01819 g 
0.01912 g 
0.01857 g 
0.01966 g 
0.01984 g 
0.01929 g 
0.02086 g 
0.02045 g 
0.02028 g 
0.01963 g 
0.01997 g 
0.01942 g 
0.02178 g 
0.02007 g 
0.02069 g 
0.02168 g 
0.02250 g 
0.02332 g 
0.02261 g 
0.02302 g 
0.02322 g 
0.02452 g 
0.02247 g 
0.02257 g 
0.02216 g 
0.02264 g 
0.02271 g 
0.02336 g 
0.02438 g 
0.02633 g 
0.02791 g 
0.02756 g 
0.03006 g 
0.03321 g 
0.03440 g 
0.03447 g 
0.03304 g 
0.03228 g 
0.03211 g 
0.03126 g 
0.03153 g 
0.03228 g 
0.03092 g 
0.02903 g 
0.03006 g 
0.02886 g 
0.02876 g 
0.02869 g 
0.02910 g 
0.02821 g 
0.02736 g 
0.02674 g 
0.02620 g 
0.02637 g 
0.02565 g 
0.02620 g 
0.02691 g 
0.02736 g 
0.02780 g 
0.02996 g 
0.03228 g 
0.03259 g 
0.03317 g 
0.03454 g 
0.03502 g 
0.03488 g 
0.03536 g 
0.03478 g 
0.03427 g 
0.03338 g 
0.03057 g 
0.02972 g 
0.03136 g 
0.02992 g 
0.03064 g 
0.03218 g 
0.03273 g 
0.03266 g 
0.03300 g 
-0.08495 g 
-1.65098 g 
-3.22823 g 
-4.80979 g 
-6.39344 g 
-7.98060 g 
-9.56873 g 
-11.15832 g 
-12.74723 g 
-14.33830 g 
-15.81234 g 
-15.83884 g 
-15.85526 g 
-15.86877 g 
-15.87793 g 
-15.88699 g 
-15.89431 g 
-15.90122 g 
-15.90874 g 
-15.91497 g 
-15.92133 g 
-15.92643 g 
-15.92909 g 
-15.93419 g 
-15.94048 g 
-15.94551 g 
-15.95225 g 
-15.95761 g 
-15.96172 g 
-15.96596 g 
-15.96976 g 
-15.97314 g 
-15.97841 g 
-15.98210 g 
-15.98644 g 
-15.98836 g 
-15.99014 g 
-15.99301 g 
-15.99547 g 
-15.99831 g 
-16.00094 g 
-16.00211 g 
-16.00440 g 
-16.00580 g 
-16.00662 g 
-16.00922 g 
-16.01056 g 
-16.01131 g 
-16.01298 g 
-16.01493 g 
-16.01644 g 
-16.01791 g 
-16.01880 g 
-16.02068 g 
-16.02160 g 
-16.02314 g 
-16.02505 g 
-16.02776 g 
-16.02977 g 
-16.03162 g 
-16.03230 g 
-16.03511 g 
-16.03784 g 
-16.03959 g 
-16.04202 g 
-16.04448 g 
-16.04735 g 
-16.04797 g 
-16.04944 g 
-16.05046 g 
-16.05368 g 
-16.05614 g 
-16.05802 g 
-16.05806 g 
-16.05902 g 
-16.06127 g 
-16.06148 g 
-16.06315 g 
-16.06336 g 
-16.06428 g 
-16.06452 g 
-16.06462 g 
-16.06445 g 
-16.06664 g 
-16.06668 g 
-16.06602 g 
-16.06691 g 
-16.06640 g 
-16.06780 g 
-16.06753 g 
-16.06582 g 
-16.06609 g 
-16.06551 g 
-16.06579 g 
-16.06698 g 
-16.06599 g 
-16.06671 g 
-16.06910 g 
-16.06876 g 
-16.06968 g 
-16.07194 g 
-16.07317 g 
-16.07437 g 
-16.07495 g 
-16.07601 g 
-16.07772 g 
-16.07782 g 
-16.07827 g 
-16.08029 g 
-16.08172 g 
-16.08357 g 
-16.08405 g 
-16.08541 g 
-16.08706 g 
-16.08733 g 
-16.08856 g 
-16.08870 g 
-16.08873 g 
-16.08901 g 
-16.08993 g 
-16.08969 g 
-16.09068 g 
-16.09266 g 
-16.09328 g 
-16.09420 g 
-16.09509 g 
-16.09667 g 
-16.09677 g 
-16.09721 g 
-16.09855 g 
-16.09875 g 
-16.09793 g 
-16.09588 g 
-16.09574 g 
-16.09496 g 
-16.09438 g 
-16.09557 g 
-16.09704 g 
-16.09677 g 
-16.09588 g 
-16.09588 g 
-16.09639 g 
-16.09704 g 
-16.09773 g 
-16.09940 g 
-16.10063 g 
-16.10108 g 
-16.10101 g 
-16.10313 g 
-16.10429 g 
-16.10689 g 
-16.10799 g 
-16.10918 g 
-16.10922 g 
-16.10953 g 
-16.11106 g 
-16.11165 g 
-16.11247 g 
-16.11274 g 
-16.11421 g 
-16.11466 g 
-16.11534 g 
-16.11684 g 
-16.11794 g 
-16.12033 g 
-16.12061 g 
-16.11934 g 
-16.11999 g 
-16.11903 g 
-16.11869 g 
-16.11739 g 
-16.11838 g 
-16.11828 g 
-16.11934 g 
-16.11828 g 
-16.11842 g 
-16.12064 g 
-16.12211 g 
-16.12444 g 
-16.12601 g 
-16.12775 g 
-16.12909 g 
-16.13111 g 
-16.13193 g 
-16.13135 g 
-16.13172 g 
-16.13244 g 
-16.13199 g 
-16.13039 g 
-16.12974 g 
-16.13018 g 
-16.12950 g 
-16.12950 g 
-16.12929 g 
-16.13240 g 
-16.13346 g 
-16.13305 g 
-16.13326 g 
-16.13624 g 
-16.13688 g 
-16.13671 g 
-16.13644 g 
-16.13593 g 
-16.13490 g 
-16.13353 g 
-16.13227 g 
-16.13268 g 
-16.13353 g 
-16.13285 g 
-16.13244 g 
-16.13326 g 
-16.13477 g 
-16.13613 g 
-16.13600 g 
-16.13630 g 
-16.13719 g 
-16.13651 g 
-16.13586 g 
-16.13552 g 
-16.13617 g 
-16.13507 g 
-16.13436 g 
-16.13275 g 
-16.13299 g 
-16.13329 g 
-16.13292 g 
-16.13381 g 
-16.13377 g 
-16.13387 g 
